Year,Month,Day,BeginHour,Vp,Dp,Bz,Kp3,
2000.00,8.00,21.00,2100.00,331.20,2.00,-1.10,3.67,
2000.00,8.00,22.00,0.00,325.50,2.20,1.00,1.33,
2000.00,8.00,22.00,300.00,337.00,2.20,0.90,1.33,
2000.00,8.00,22.00,600.00,325.60,2.60,3.90,0.67,
2000.00,8.00,22.00,900.00,316.80,2.70,2.80,0.00,
2000.00,8.00,22.00,1200.00,304.70,3.10,3.30,0.33,
2000.00,8.00,22.00,1500.00,307.90,5.60,3.40,0.33,
2000.00,8.00,22.00,1800.00,294.70,3.80,2.70,0.00,
2000.00,8.00,22.00,2100.00,302.50,4.20,1.40,0.67,
2000.00,8.00,23.00,0.00,297.90,4.90,1.80,0.33,
2000.00,8.00,23.00,300.00,303.00,5.70,1.00,0.00,
2000.00,8.00,23.00,600.00,306.60,8.10,-1.80,0.67,
2000.00,8.00,23.00,900.00,299.80,7.90,-8.10,2.00,
2000.00,8.00,23.00,1200.00,304.80,15.80,-6.60,2.33,
2000.00,8.00,23.00,1500.00,291.60,52.80,0.20,3.33,
2000.00,8.00,23.00,1800.00,299.50,0.70,10.80,2.33,
2000.00,8.00,23.00,2100.00,300.30,1.20,9.60,1.33,
2000.00,8.00,24.00,0.00,306.60,3.60,8.10,2.33,
2000.00,8.00,24.00,300.00,318.20,11.70,-8.30,3.00,
2000.00,8.00,24.00,900.00,372.40,2.20,9.50,2.00,
2000.00,8.00,24.00,1200.00,369.20,3.30,6.80,1.67,
2000.00,8.00,24.00,1500.00,378.40,17.80,3.90,1.33,
2000.00,8.00,24.00,1800.00,397.40,2.80,9.00,1.00,
2000.00,8.00,24.00,2100.00,421.00,2.70,5.20,0.67,
2000.00,8.00,25.00,0.00,411.50,2.30,2.90,0.00,
2000.00,8.00,25.00,300.00,412.60,2.70,4.60,1.00,
2000.00,8.00,25.00,600.00,390.30,2.60,3.90,0.33,
2000.00,8.00,25.00,900.00,371.00,1.70,3.30,0.33,
2000.00,8.00,25.00,1200.00,383.00,2.30,3.70,0.67,
2000.00,8.00,25.00,1500.00,396.20,7.30,5.20,0.67,
2000.00,8.00,25.00,1800.00,398.40,1.70,2.40,1.67,
2000.00,8.00,25.00,2100.00,394.50,2.10,3.20,1.00,
2000.00,8.00,26.00,0.00,387.80,1.90,2.90,1.00,
2000.00,8.00,26.00,300.00,409.10,2.50,2.50,1.33,
2000.00,8.00,26.00,600.00,406.60,2.10,-3.70,1.67,
2000.00,8.00,26.00,900.00,386.00,1.70,-1.20,1.33,
2000.00,8.00,26.00,1200.00,387.60,1.90,-2.80,1.67,
2000.00,8.00,26.00,1500.00,386.90,4.10,3.30,1.33,
2000.00,8.00,26.00,1800.00,381.90,3.50,2.20,0.67,
2000.00,8.00,26.00,2100.00,373.20,3.30,1.50,0.67,
2000.00,8.00,27.00,0.00,368.70,2.60,0.50,2.00,
2000.00,8.00,27.00,300.00,374.80,4.50,2.70,1.00,
2000.00,8.00,27.00,600.00,361.60,3.80,2.00,0.67,
2000.00,8.00,27.00,900.00,355.80,3.60,0.80,1.00,
2000.00,8.00,27.00,1200.00,357.60,5.20,1.70,2.67,
2000.00,8.00,27.00,1500.00,373.90,10.60,2.00,2.00,
2000.00,8.00,27.00,1800.00,397.10,12.80,-1.30,2.00,
2000.00,8.00,27.00,2100.00,407.40,8.80,-1.00,2.33,
